response_id,game,time,hours,regularly_play
R_3rYAprW0GQ77H60,2,before,NA,yes
R_3rYAprW0GQ77H60,3,before,NA,yes
R_3rYAprW0GQ77H60,4,before,NA,yes
R_3rYAprW0GQ77H60,5,before,NA,yes
R_3rYAprW0GQ77H60,6,before,60,yes
R_3rYAprW0GQ77H60,7,before,NA,yes
R_3rYAprW0GQ77H60,8,before,NA,yes
R_3rYAprW0GQ77H60,9,before,NA,yes
R_3rYAprW0GQ77H60,1,after,NA,yes
R_3rYAprW0GQ77H60,2,after,NA,yes
R_3rYAprW0GQ77H60,3,after,NA,yes
R_3rYAprW0GQ77H60,4,after,NA,yes
R_3rYAprW0GQ77H60,5,after,NA,yes
R_3rYAprW0GQ77H60,6,after,30,yes
R_3rYAprW0GQ77H60,7,after,NA,yes
R_3rYAprW0GQ77H60,8,after,NA,yes
R_3rYAprW0GQ77H60,9,after,NA,yes
R_2PCnueh0z8dxONX,1,before,NA,yes
R_2PCnueh0z8dxONX,2,before,NA,yes
R_2PCnueh0z8dxONX,3,before,9,yes
R_2PCnueh0z8dxONX,4,before,NA,yes
R_2PCnueh0z8dxONX,5,before,NA,yes
R_2PCnueh0z8dxONX,6,before,15,yes
R_2PCnueh0z8dxONX,7,before,11,yes
R_2PCnueh0z8dxONX,8,before,NA,yes
R_2PCnueh0z8dxONX,9,before,NA,yes
R_2PCnueh0z8dxONX,1,after,NA,yes
R_2PCnueh0z8dxONX,2,after,NA,yes
R_2PCnueh0z8dxONX,3,after,21,yes
R_2PCnueh0z8dxONX,4,after,NA,yes
R_2PCnueh0z8dxONX,5,after,NA,yes
R_2PCnueh0z8dxONX,6,after,23,yes
R_2PCnueh0z8dxONX,7,after,16,yes
R_2PCnueh0z8dxONX,8,after,NA,yes
R_2PCnueh0z8dxONX,9,after,NA,yes
R_30enO1wA4LKIhUd,1,before,7,yes
R_30enO1wA4LKIhUd,2,before,11,yes
R_30enO1wA4LKIhUd,3,before,NA,yes
R_30enO1wA4LKIhUd,4,before,NA,yes
R_30enO1wA4LKIhUd,5,before,NA,yes
R_30enO1wA4LKIhUd,6,before,NA,yes
R_30enO1wA4LKIhUd,7,before,10,yes
R_30enO1wA4LKIhUd,8,before,11,yes
R_30enO1wA4LKIhUd,9,before,14,yes
R_30enO1wA4LKIhUd,1,after,NA,no
R_30enO1wA4LKIhUd,2,after,NA,no
R_30enO1wA4LKIhUd,3,after,NA,no
R_30enO1wA4LKIhUd,4,after,NA,no
R_30enO1wA4LKIhUd,5,after,NA,no
R_30enO1wA4LKIhUd,6,after,NA,no
R_30enO1wA4LKIhUd,7,after,NA,no
R_30enO1wA4LKIhUd,8,after,NA,no
R_30enO1wA4LKIhUd,9,after,NA,no
R_3feFL01maECWrJE,1,before,NA,yes
R_3feFL01maECWrJE,2,before,15,yes
R_3feFL01maECWrJE,3,before,NA,yes
R_3feFL01maECWrJE,4,before,NA,yes
R_3feFL01maECWrJE,5,before,NA,yes
R_3feFL01maECWrJE,6,before,NA,yes
R_3feFL01maECWrJE,7,before,NA,yes
R_3feFL01maECWrJE,8,before,NA,yes
R_3feFL01maECWrJE,9,before,NA,yes
R_3feFL01maECWrJE,1,after,NA,yes
R_3feFL01maECWrJE,2,after,15,yes
R_3feFL01maECWrJE,3,after,NA,yes
R_3feFL01maECWrJE,4,after,NA,yes
R_3feFL01maECWrJE,5,after,NA,yes
R_3feFL01maECWrJE,6,after,NA,yes
R_3feFL01maECWrJE,7,after,NA,yes
R_3feFL01maECWrJE,8,after,NA,yes
R_3feFL01maECWrJE,9,after,NA,yes
R_12JyJmQfO8sTgUl,1,before,NA,yes
R_12JyJmQfO8sTgUl,2,before,60,yes
R_12JyJmQfO8sTgUl,3,before,10,yes
R_12JyJmQfO8sTgUl,4,before,10,yes
R_12JyJmQfO8sTgUl,5,before,NA,yes
R_12JyJmQfO8sTgUl,6,before,10,yes
R_12JyJmQfO8sTgUl,7,before,NA,yes
R_12JyJmQfO8sTgUl,8,before,NA,yes
R_12JyJmQfO8sTgUl,9,before,NA,yes
R_12JyJmQfO8sTgUl,1,after,NA,no
R_12JyJmQfO8sTgUl,2,after,NA,no
R_12JyJmQfO8sTgUl,3,after,NA,no
R_12JyJmQfO8sTgUl,4,after,NA,no
R_12JyJmQfO8sTgUl,5,after,NA,no
R_12JyJmQfO8sTgUl,6,after,NA,no
R_12JyJmQfO8sTgUl,7,after,NA,no
R_12JyJmQfO8sTgUl,8,after,NA,no
R_12JyJmQfO8sTgUl,9,after,NA,no
R_2Xiozx8q35QPmPN,1,before,NA,no
R_2Xiozx8q35QPmPN,2,before,NA,no
R_2Xiozx8q35QPmPN,3,before,NA,no
R_2Xiozx8q35QPmPN,4,before,NA,no
R_2Xiozx8q35QPmPN,5,before,NA,no
R_2Xiozx8q35QPmPN,6,before,NA,no
R_2Xiozx8q35QPmPN,7,before,NA,no
R_2Xiozx8q35QPmPN,8,before,NA,no
R_2Xiozx8q35QPmPN,9,before,NA,no
R_2Xiozx8q35QPmPN,1,after,NA,no
R_2Xiozx8q35QPmPN,2,after,NA,no
R_2Xiozx8q35QPmPN,3,after,NA,no
R_2Xiozx8q35QPmPN,4,after,NA,no
R_2Xiozx8q35QPmPN,5,after,NA,no
R_2Xiozx8q35QPmPN,6,after,NA,no
R_2Xiozx8q35QPmPN,7,after,NA,no
R_2Xiozx8q35QPmPN,8,after,NA,no
R_2Xiozx8q35QPmPN,9,after,NA,no
R_x5Wbvksc6tIcvE5,1,before,NA,yes
R_x5Wbvksc6tIcvE5,2,before,NA,yes
R_x5Wbvksc6tIcvE5,3,before,1,yes
R_x5Wbvksc6tIcvE5,4,before,6,yes
R_x5Wbvksc6tIcvE5,5,before,NA,yes
R_x5Wbvksc6tIcvE5,6,before,6,yes
R_x5Wbvksc6tIcvE5,7,before,2,yes
R_x5Wbvksc6tIcvE5,8,before,NA,yes
R_x5Wbvksc6tIcvE5,9,before,NA,yes
R_x5Wbvksc6tIcvE5,1,after,NA,no
R_x5Wbvksc6tIcvE5,2,after,NA,no
R_x5Wbvksc6tIcvE5,3,after,NA,no
R_x5Wbvksc6tIcvE5,4,after,NA,no
R_x5Wbvksc6tIcvE5,5,after,NA,no
R_x5Wbvksc6tIcvE5,6,after,NA,no
R_x5Wbvksc6tIcvE5,7,after,NA,no
R_x5Wbvksc6tIcvE5,8,after,NA,no
R_x5Wbvksc6tIcvE5,9,after,NA,no
R_2U30JqzB8uJ3URG,1,before,NA,yes
R_2U30JqzB8uJ3URG,2,before,25,yes
R_2U30JqzB8uJ3URG,3,before,10,yes
R_2U30JqzB8uJ3URG,4,before,NA,yes
R_2U30JqzB8uJ3URG,5,before,NA,yes
R_2U30JqzB8uJ3URG,6,before,NA,yes
R_2U30JqzB8uJ3URG,7,before,NA,yes
R_2U30JqzB8uJ3URG,8,before,NA,yes
R_2U30JqzB8uJ3URG,9,before,NA,yes
R_2U30JqzB8uJ3URG,1,after,NA,yes
R_2U30JqzB8uJ3URG,2,after,20,yes
R_2U30JqzB8uJ3URG,3,after,15,yes
R_2U30JqzB8uJ3URG,4,after,NA,yes
R_2U30JqzB8uJ3URG,5,after,NA,yes
R_2U30JqzB8uJ3URG,6,after,NA,yes
R_2U30JqzB8uJ3URG,7,after,NA,yes
R_2U30JqzB8uJ3URG,8,after,NA,yes
R_2U30JqzB8uJ3URG,9,after,NA,yes
R_3CPHuI39ahB49V3,1,before,NA,yes
R_3CPHuI39ahB49V3,2,before,NA,yes
R_3CPHuI39ahB49V3,3,before,1,yes
R_3CPHuI39ahB49V3,4,before,NA,yes
R_3CPHuI39ahB49V3,5,before,NA,yes
R_3CPHuI39ahB49V3,6,before,2,yes
R_3CPHuI39ahB49V3,7,before,NA,yes
R_3CPHuI39ahB49V3,8,before,NA,yes
R_3CPHuI39ahB49V3,9,before,NA,yes
R_3CPHuI39ahB49V3,1,after,NA,yes
R_3CPHuI39ahB49V3,2,after,NA,yes
R_3CPHuI39ahB49V3,3,after,1,yes
R_3CPHuI39ahB49V3,4,after,NA,yes
R_3CPHuI39ahB49V3,5,after,NA,yes
R_3CPHuI39ahB49V3,6,after,1,yes
R_3CPHuI39ahB49V3,7,after,NA,yes
R_3CPHuI39ahB49V3,8,after,NA,yes
R_3CPHuI39ahB49V3,9,after,NA,yes
R_pJC3uBxyJBR1a1z,1,before,NA,yes
R_pJC3uBxyJBR1a1z,2,before,NA,yes
R_pJC3uBxyJBR1a1z,3,before,10,yes
R_pJC3uBxyJBR1a1z,4,before,5,yes
R_pJC3uBxyJBR1a1z,5,before,NA,yes
R_pJC3uBxyJBR1a1z,6,before,NA,yes
R_pJC3uBxyJBR1a1z,7,before,5,yes
R_pJC3uBxyJBR1a1z,8,before,NA,yes
R_pJC3uBxyJBR1a1z,9,before,NA,yes
R_pJC3uBxyJBR1a1z,1,after,NA,yes
R_pJC3uBxyJBR1a1z,2,after,NA,yes
R_pJC3uBxyJBR1a1z,3,after,10,yes
R_pJC3uBxyJBR1a1z,4,after,5,yes
R_pJC3uBxyJBR1a1z,5,after,NA,yes
R_pJC3uBxyJBR1a1z,6,after,NA,yes
R_pJC3uBxyJBR1a1z,7,after,5,yes
R_pJC3uBxyJBR1a1z,8,after,NA,yes
R_pJC3uBxyJBR1a1z,9,after,NA,yes
R_1QDQVGgr43kczoS,1,before,NA,yes
R_1QDQVGgr43kczoS,2,before,4,yes
R_1QDQVGgr43kczoS,3,before,7,yes
R_1QDQVGgr43kczoS,4,before,10,yes
R_1QDQVGgr43kczoS,5,before,20,yes
R_1QDQVGgr43kczoS,6,before,NA,yes
R_1QDQVGgr43kczoS,7,before,NA,yes
R_1QDQVGgr43kczoS,8,before,21,yes
R_1QDQVGgr43kczoS,9,before,NA,yes
R_1QDQVGgr43kczoS,1,after,NA,yes
R_1QDQVGgr43kczoS,2,after,NA,yes
R_1QDQVGgr43kczoS,3,after,24,yes
R_1QDQVGgr43kczoS,4,after,12,yes
R_1QDQVGgr43kczoS,5,after,NA,yes
R_1QDQVGgr43kczoS,6,after,NA,yes
R_1QDQVGgr43kczoS,7,after,NA,yes
R_1QDQVGgr43kczoS,8,after,10,yes
R_1QDQVGgr43kczoS,9,after,NA,yes
R_9zzr3A5XBoHiHol,1,before,NA,no
R_9zzr3A5XBoHiHol,2,before,NA,no
R_9zzr3A5XBoHiHol,3,before,NA,no
R_9zzr3A5XBoHiHol,4,before,NA,no
R_9zzr3A5XBoHiHol,5,before,NA,no
R_9zzr3A5XBoHiHol,6,before,NA,no
R_9zzr3A5XBoHiHol,7,before,NA,no
R_9zzr3A5XBoHiHol,8,before,NA,no
R_9zzr3A5XBoHiHol,9,before,NA,no
R_9zzr3A5XBoHiHol,1,after,NA,yes
R_9zzr3A5XBoHiHol,2,after,15,yes
R_9zzr3A5XBoHiHol,3,after,NA,yes
R_9zzr3A5XBoHiHol,4,after,NA,yes
R_9zzr3A5XBoHiHol,5,after,NA,yes
R_9zzr3A5XBoHiHol,6,after,NA,yes
R_9zzr3A5XBoHiHol,7,after,NA,yes
R_9zzr3A5XBoHiHol,8,after,NA,yes
R_9zzr3A5XBoHiHol,9,after,NA,yes
R_3gSjiAkUHvZ1gGz,1,before,NA,yes
R_3gSjiAkUHvZ1gGz,2,before,NA,yes
R_3gSjiAkUHvZ1gGz,3,before,20,yes
R_3gSjiAkUHvZ1gGz,4,before,NA,yes
R_3gSjiAkUHvZ1gGz,5,before,NA,yes
R_3gSjiAkUHvZ1gGz,6,before,NA,yes
R_3gSjiAkUHvZ1gGz,7,before,NA,yes
R_3gSjiAkUHvZ1gGz,8,before,NA,yes
R_3gSjiAkUHvZ1gGz,9,before,NA,yes
R_3gSjiAkUHvZ1gGz,1,after,NA,yes
R_3gSjiAkUHvZ1gGz,2,after,2,yes
R_3gSjiAkUHvZ1gGz,3,after,19,yes
R_3gSjiAkUHvZ1gGz,4,after,NA,yes
R_3gSjiAkUHvZ1gGz,5,after,NA,yes
R_3gSjiAkUHvZ1gGz,6,after,NA,yes
R_3gSjiAkUHvZ1gGz,7,after,NA,yes
R_3gSjiAkUHvZ1gGz,8,after,NA,yes
R_3gSjiAkUHvZ1gGz,9,after,NA,yes
R_b3Iy7fxUDsppxAJ,1,before,NA,yes
R_b3Iy7fxUDsppxAJ,2,before,6,yes
R_b3Iy7fxUDsppxAJ,3,before,NA,yes
R_b3Iy7fxUDsppxAJ,4,before,NA,yes
R_b3Iy7fxUDsppxAJ,5,before,NA,yes
R_b3Iy7fxUDsppxAJ,6,before,30,yes
R_b3Iy7fxUDsppxAJ,7,before,10,yes
R_b3Iy7fxUDsppxAJ,8,before,8,yes
R_b3Iy7fxUDsppxAJ,9,before,NA,yes
R_b3Iy7fxUDsppxAJ,1,after,NA,yes
R_b3Iy7fxUDsppxAJ,2,after,2,yes
R_b3Iy7fxUDsppxAJ,3,after,NA,yes
R_b3Iy7fxUDsppxAJ,4,after,NA,yes
R_b3Iy7fxUDsppxAJ,5,after,NA,yes
R_b3Iy7fxUDsppxAJ,6,after,31,yes
R_b3Iy7fxUDsppxAJ,7,after,8,yes
R_b3Iy7fxUDsppxAJ,8,after,16,yes
R_b3Iy7fxUDsppxAJ,9,after,NA,yes
R_2qEHaRpK9wttPrJ,1,before,NA,yes
R_2qEHaRpK9wttPrJ,2,before,NA,yes
R_2qEHaRpK9wttPrJ,3,before,2,yes
R_2qEHaRpK9wttPrJ,4,before,2,yes
R_2qEHaRpK9wttPrJ,5,before,NA,yes
R_2qEHaRpK9wttPrJ,6,before,NA,yes
R_2qEHaRpK9wttPrJ,7,before,NA,yes
R_2qEHaRpK9wttPrJ,8,before,NA,yes
R_2qEHaRpK9wttPrJ,9,before,NA,yes
R_2qEHaRpK9wttPrJ,1,after,NA,yes
R_2qEHaRpK9wttPrJ,2,after,NA,yes
R_2qEHaRpK9wttPrJ,3,after,5,yes
R_2qEHaRpK9wttPrJ,4,after,4,yes
R_2qEHaRpK9wttPrJ,5,after,NA,yes
R_2qEHaRpK9wttPrJ,6,after,NA,yes
R_2qEHaRpK9wttPrJ,7,after,NA,yes
R_2qEHaRpK9wttPrJ,8,after,NA,yes
R_2qEHaRpK9wttPrJ,9,after,NA,yes
R_2zVbcDhM4AXPsZT,1,before,NA,yes
R_2zVbcDhM4AXPsZT,2,before,NA,yes
R_2zVbcDhM4AXPsZT,3,before,NA,yes
R_2zVbcDhM4AXPsZT,4,before,NA,yes
R_2zVbcDhM4AXPsZT,5,before,NA,yes
R_2zVbcDhM4AXPsZT,6,before,15,yes
R_2zVbcDhM4AXPsZT,7,before,NA,yes
R_2zVbcDhM4AXPsZT,8,before,9,yes
R_2zVbcDhM4AXPsZT,9,before,NA,yes
R_2zVbcDhM4AXPsZT,1,after,NA,yes
R_2zVbcDhM4AXPsZT,2,after,NA,yes
R_2zVbcDhM4AXPsZT,3,after,NA,yes
R_2zVbcDhM4AXPsZT,4,after,NA,yes
R_2zVbcDhM4AXPsZT,5,after,NA,yes
R_2zVbcDhM4AXPsZT,6,after,20,yes
R_2zVbcDhM4AXPsZT,7,after,NA,yes
R_2zVbcDhM4AXPsZT,8,after,6,yes
R_2zVbcDhM4AXPsZT,9,after,NA,yes
R_3PcoH72zwQSCOj0,1,before,NA,yes
R_3PcoH72zwQSCOj0,2,before,NA,yes
R_3PcoH72zwQSCOj0,3,before,4,yes
R_3PcoH72zwQSCOj0,4,before,10,yes
R_3PcoH72zwQSCOj0,5,before,NA,yes
R_3PcoH72zwQSCOj0,6,before,3,yes
R_3PcoH72zwQSCOj0,7,before,7,yes
R_3PcoH72zwQSCOj0,8,before,16,yes
R_3PcoH72zwQSCOj0,9,before,NA,yes
R_3PcoH72zwQSCOj0,1,after,NA,yes
R_3PcoH72zwQSCOj0,2,after,NA,yes
R_3PcoH72zwQSCOj0,3,after,1,yes
R_3PcoH72zwQSCOj0,4,after,10,yes
R_3PcoH72zwQSCOj0,5,after,NA,yes
R_3PcoH72zwQSCOj0,6,after,7,yes
R_3PcoH72zwQSCOj0,7,after,10,yes
R_3PcoH72zwQSCOj0,8,after,23,yes
R_3PcoH72zwQSCOj0,9,after,NA,yes
R_ekEOouSfdEsS5vb,1,before,NA,yes
R_ekEOouSfdEsS5vb,2,before,16,yes
R_ekEOouSfdEsS5vb,3,before,45,yes
R_ekEOouSfdEsS5vb,4,before,23,yes
R_ekEOouSfdEsS5vb,5,before,NA,yes
R_ekEOouSfdEsS5vb,6,before,21,yes
R_ekEOouSfdEsS5vb,7,before,NA,yes
R_ekEOouSfdEsS5vb,8,before,NA,yes
R_ekEOouSfdEsS5vb,9,before,NA,yes
R_ekEOouSfdEsS5vb,1,after,NA,yes
R_ekEOouSfdEsS5vb,2,after,4,yes
R_ekEOouSfdEsS5vb,3,after,16,yes
R_ekEOouSfdEsS5vb,4,after,15,yes
R_ekEOouSfdEsS5vb,5,after,NA,yes
R_ekEOouSfdEsS5vb,6,after,19,yes
R_ekEOouSfdEsS5vb,7,after,NA,yes
R_ekEOouSfdEsS5vb,8,after,NA,yes
R_ekEOouSfdEsS5vb,9,after,NA,yes
R_1IWvRT0mkoPQqkR,1,before,NA,yes
R_1IWvRT0mkoPQqkR,2,before,3,yes
R_1IWvRT0mkoPQqkR,3,before,NA,yes
